PRES,BU,PLOT,BP,meanPerPG,StdDevPG,MONYEAR,MONDATE,LASTBURNDATE,LASTBURNYEAR,,
ABRP,32,9,32_9,6.9,4.745080555,2009,7/30/2009,6/7/2008,2008,,
ABRP,32,9,32_9,12.95,14.86952022,2012,9/3/2012,2011,2011,,
ABRP,32,9,32_9,32.5,10.9424331,2018,9/4/2018,2017,2017,,
ABRP,32,9,32_9,31.75,23.51007623,,(blank),4/3/2001,2001,,
ABRP,32,10,32_10,27.05,22.26272552,1999,9/10/1999,4/27/1998,1998,,
ABRP,32,10,32_10,31.5,17.32810312,2005,8/8/2005,4/9/2004,2004,,
ABRP,32,10,32_10,6.6,6.167828245,2009,7/30/2009,6/7/2008,2008,,
ABRP,32,10,32_10,6.85,5.470254492,2012,9/3/2012,2011,2011,,
ABRP,32,10,32_10,16.5,10.89422831,2018,9/4/2018,2017,2017,,
ABRP,32,10,32_10,23,8.795932074,,(blank),4/3/2001,2001,,
ABRP,32,11,32_11,33.85,46.11915346,1999,8/23/1999,4/27/1998,1998,,
ABRP,32,11,32_11,36.35,23.62263633,2002,9/23/2002,4/3/2001,2001,,
ABRP,32,11,32_11,24.25,12.6984251,2005,8/17/2005,4/9/2004,2004,,
ABRP,32,11,32_11,10.7,14.14250778,2009,7/29/2009,6/7/2008,2008,,
ABRP,32,11,32_11,19.75,13.99953007,2018,9/4/2018,2017,2017,,
ABRP,40,1,40_1,19.65,12.63360181,1998,8/7/1998,3/27/1992,1992,,
ABRP,40,1,40_1,17.6,17.25779763,2003,8/19/2003,4/22/2002,2002,,
ABRP,40,1,40_1,8.181818182,3.370999312,2005,8/29/2005,5/5/2004,2004,,
ABRP,40,1,40_1,18.14285714,18.70769954,2008,7/29/2008,2006,2006,,
ABRP,40,1,40_1,27.5,15.08310313,2008,7/29/2008,Bull-Dozed 2007,2007,,
ABRP,40,1,40_1,14.75,11.37344553,2010,7/22/2010,6/1/2009,2009,,
ABRP,40,1,40_1,34.5,12.34376041,2018,8/6/2018,2017,2017,,
